,Initial position,Final position,Distance Travelled,Velocity,Class
120,49.81,34.24,-15.57,-3.878083986,Slow Approaching
121,36.9,35.07,-1.83,-0.455906914,Stationary
122,1211.44,43.39,-1168.05,-286.0069096,Fast Approaching
123,128.89,191.11,62.22,15.44574511,Slow Leaving
124,183.86,43.51,-140.35,-34.88980336,Fast Approaching
125,27.68,133.4,105.72,26.30365097,Fast Leaving
126,192.54,183.75,-8.79,-2.180117242,Slow Approaching
127,133.99,71.11,-62.88,-15.63555678,Slow Approaching
128,18.41,28.7,10.29,2.564232417,Slow Leaving
129,69.83,118.82,48.99,12.18278835,Slow Leaving
130,159.96,144.21,-15.75,-3.910313914,Slow Approaching
131,90.17,34.12,-56.05,-13.95497981,Slow Approaching
132,51.32,129.73,78.41,19.50672215,Slow Leaving
133,196.06,118.25,-77.81,-19.32140703,Slow Approaching
134,33.75,1211.54,1177.79,288.6017429,Fast Leaving
135,174.29,189.33,15.04,3.730345061,Slow Leaving
136,191.44,97.44,-94,-23.34487,Fast Approaching
137,18.66,60.75,42.09,10.4846733,Slow Leaving
138,181.6,1211.7,1030.1,251.8058817,Fast Leaving
139,136.24,29.07,-107.17,-26.66395934,Fast Approaching
140,80.71,194.79,114.08,28.33744314,Fast Leaving
141,232.92,128.41,-104.51,-25.92941462,Fast Approaching
142,30.45,22.57,-7.88,-1.9642595,Slow Approaching
143,56.48,166.38,109.9,27.32019191,Fast Leaving
144,1211.74,1211.58,-0.16,-0.038549322,Stationary
145,257.5,1211.49,953.99,232.9352413,Fast Leaving
146,1211.54,220.6,-990.94,-241.963276,Fast Approaching
147,187.19,151.71,-35.48,-8.805020968,Slow Approaching
148,116.16,78.6,-37.56,-9.340835557,Slow Approaching
149,42.66,29.38,-13.28,-3.308166708,Slow Approaching
150,20.6,54.98,34.38,8.563499671,Slow Leaving
151,106.93,161.98,55.05,13.67545733,Slow Leaving
152,1211.66,209.08,-1002.58,-244.9704095,Fast Approaching
153,115.48,44.77,-70.71,-17.57694487,Slow Approaching
154,57.75,116.32,58.57,14.57011153,Slow Leaving
155,182.97,237.87,54.9,13.61324978,Slow Leaving
156,1211.65,74.66,-1136.99,-278.3063489,Fast Approaching
157,28.3,56.3,28,6.974269902,Slow Leaving
158,126.08,1211.13,1085.05,265.5322092,Fast Leaving
159,1211.67,143.09,-1068.58,-261.3444339,Fast Approaching
160,42.16,54.25,12.09,3.011280312,Slow Leaving
161,134.19,1211.54,1077.35,263.4999603,Fast Leaving
162,1211.7,116.62,-1095.08,-267.5656882,Fast Approaching
163,35.9,48.02,12.12,3.020490896,Slow Leaving
164,142.78,190.55,47.77,11.85480932,Slow Leaving
165,1211.56,103.15,-1108.41,-271.2436828,Fast Approaching
166,31.07,75.96,44.89,11.17813052,Slow Leaving
167,150.56,1211.42,1060.86,259.4763576,Fast Leaving
168,240.77,138.53,-102.24,-25.35763426,Fast Approaching
169,27.07,44.03,16.96,4.224426452,Slow Leaving
170,91.96,161.83,69.87,17.36089182,Slow Leaving
171,193.89,110.66,-83.23,-20.6724537,Slow Approaching
172,30.85,45.12,14.27,3.554821716,Slow Leaving
173,130.56,1211.6,1081.04,264.5318253,Fast Leaving
174,90.64,22.27,-68.37,-17.02252662,Slow Approaching
175,19.81,128.01,108.2,26.93200124,Fast Leaving
176,192.37,134.37,-58,-14.39948641,Slow Approaching
177,51.14,12.77,-38.37,-9.560026983,Slow Approaching
178,94.98,202.27,107.29,26.64530315,Fast Leaving
179,1211.64,151.71,-1059.93,-259.2286468,Fast Approaching
180,45.91,30.02,-15.89,-3.958985302,Slow Approaching
181,84.69,1211.53,1126.84,275.921077,Fast Leaving
182,251.24,137.66,-113.58,-28.17009882,Fast Approaching
183,37.33,28.81,-8.52,-2.12304051,Slow Approaching
184,117.39,225.85,108.46,26.91786054,Fast Leaving
185,190.1,109.4,-80.7,-20.03643782,Slow Approaching
186,64.94,60.35,-4.59,-1.142619158,Stationary
187,65.14,65.06,-0.08,-0.019913563,Stationary
188,58,42.71,-15.29,-3.808111213,Slow Approaching
189,113.54,316.94,203.4,50.41178042,Fast Leaving
190,1211.67,144.73,-1066.94,-260.9723712,Fast Approaching
191,47.22,50.96,3.74,0.931513352,Stationary
192,300.75,433.5,132.75,32.77494963,Fast Leaving
193,316.58,124.02,-192.56,-47.71741747,Fast Approaching
194,32.31,50.11,17.8,4.435422803,Slow Leaving
195,191.93,237.02,45.09,11.17762103,Slow Leaving
196,1211.52,141.22,-1070.3,-261.7712945,Fast Approaching
197,50.78,31.48,-19.3,-4.807366245,Slow Approaching
198,95.93,172.77,76.84,19.08848018,Slow Leaving
199,205.74,95.11,-110.63,-27.4733863,Fast Approaching
200,30.49,35.69,5.2,1.295904017,Slow Leaving
201,108.72,187.36,78.64,19.52876194,Slow Leaving
202,132.61,68.81,-63.8,-15.85573816,Slow Approaching
203,25.28,58.71,33.43,8.329909918,Slow Leaving
204,113.68,178.37,64.69,16.06473733,Slow Leaving
205,133.37,72.01,-61.36,-15.257513,Slow Approaching
206,21.95,58.62,36.67,9.134675592,Slow Leaving
207,186.06,317.02,130.96,32.43660937,Fast Leaving
208,135.92,20.84,-115.08,-28.6350057,Fast Approaching
209,56.6,188.4,131.8,32.75389694,Fast Leaving
210,231.9,100.17,-131.73,-32.71048025,Fast Approaching
211,27.79,105.2,77.41,19.2683838,Slow Leaving
212,232.03,1211.52,979.49,239.2396251,Fast Leaving
213,90.35,17.71,-72.64,-18.08943304,Slow Approaching
214,93.35,313.97,220.62,54.70417001,Fast Leaving
215,240.41,119.44,-120.97,-30.01154804,Fast Approaching
216,14.39,49.76,35.37,8.812744435,Slow Leaving
217,161.66,242.14,80.48,19.95584014,Slow Leaving
218,1211.54,63.71,-1147.83,-281.0508675,Fast Approaching
219,25.29,110.26,84.97,21.14887737,Slow Leaving
220,1211.59,306.04,-905.55,-220.960402,Fast Approaching
221,185.86,63.39,-122.47,-30.43253634,Fast Approaching
222,114.05,115.25,1.2,0.298180636,Stationary
223,1211.74,1211.56,-0.18,-0.04336367,Stationary
224,316.09,1211.49,895.4,218.4600428,Fast Leaving
225,188,129.9,-58.1,-14.42319472,Slow Approaching
226,67.5,38.68,-28.82,-7.176500118,Slow Approaching
227,34.8,34.96,0.16,0.039862696,Stationary
228,34.53,37.59,3.06,0.762371925,Stationary
229,38.03,36.47,-1.56,-0.388760372,Stationary
230,36.77,37.38,0.61,0.152030187,Stationary
231,34.36,35.02,0.66,0.16443361,Stationary
232,37.98,36.51,-1.47,-0.36621052,Stationary
233,35.48,39.83,4.35,1.083658896,Stationary
234,141.17,318.71,177.54,43.97831137,Fast Leaving
235,156.92,42.43,-114.49,-28.47111983,Fast Approaching
236,33.63,128.87,95.24,23.69607191,Fast Leaving
237,316.56,128.78,-187.78,-46.42906206,Fast Approaching
238,70.21,36.24,-33.97,-8.458559314,Slow Approaching
239,75.4,163.43,88.03,21.87858791,Slow Leaving
240,251.67,327.21,75.54,18.68190469,Slow Leaving
241,89.97,1211.58,1121.61,274.560798,Fast Leaving
242,60.75,156.75,96,23.86612552,Fast Leaving
243,315.74,189.87,-125.87,-31.15922691,Fast Approaching
244,76.62,21.03,-55.59,-13.84419677,Slow Approaching
245,21.85,69.83,47.98,11.95028087,Slow Leaving
246,187.41,1212.49,1025.08,250.5472998,Fast Leaving
247,165.2,50.06,-115.14,-28.62251044,Fast Approaching
248,1212.32,88.22,-1124.1,-275.1352111,Fast Approaching
249,164.38,1212.31,1047.93,256.2108436,Fast Leaving
250,161.83,73.9,-87.93,-21.85195653,Slow Approaching
251,28.36,69.87,41.51,10.341332,Slow Leaving
252,134.08,224.66,90.58,22.48195865,Slow Leaving
253,315.85,191.47,-124.38,-30.79403654,Fast Approaching
254,120.55,36.42,-84.13,-20.93342902,Slow Approaching
255,21.42,90.74,69.32,17.25996722,Slow Leaving
256,181.94,1212.11,1030.17,251.8369805,Fast Leaving
257,254.93,267.73,12.8,3.168524419,Slow Leaving
258,188.16,1212.18,1024.02,250.3163408,Fast Leaving
259,250.24,190.89,-59.35,-14.70886463,Slow Approaching
260,188.6,315.4,126.8,31.39637586,Fast Leaving
261,177.65,111.56,-66.09,-16.41298822,Slow Approaching
262,61.63,48.28,-13.35,-3.324010559,Slow Approaching
263,47.06,47.13,0.07,0.017433962,Stationary
264,53.82,59.11,5.29,1.317117919,Slow Leaving
265,56.92,56.25,-0.67,-0.166817228,Stationary
266,57.94,57.73,-0.21,-0.052284653,Stationary
267,59.28,115.83,56.55,14.07210669,Slow Leaving
268,213.77,1211.95,998.18,243.8846862,Fast Leaving
269,189.81,1212.02,1022.21,249.838761,Fast Leaving
270,108.35,48.04,-60.31,-15.00575202,Slow Approaching
271,35.97,43.22,7.25,1.805998403,Slow Leaving
272,47.42,46.46,-0.96,-0.23909045,Stationary
273,49.99,52.08,2.09,0.520461055,Stationary
274,123.17,1212,1088.83,266.3745178,Fast Leaving
275,215.05,98.52,-116.53,-28.93619964,Fast Approaching
276,1211.93,26.61,-1185.32,-290.5085958,Fast Approaching
277,25.17,25.67,0.5,0.12464743,Stationary
278,30.34,26.87,-3.47,-0.864646451,Stationary
279,33.89,126.7,92.81,23.10237082,Fast Leaving
280,189.89,192.76,2.87,0.711783616,Stationary
281,48.14,26.32,-21.82,-5.435260381,Slow Approaching
282,96.37,932.07,835.7,205.346699,Fast Leaving
283,252.17,188.42,-63.75,-15.7948996,Slow Approaching
284,64.39,33.34,-31.05,-7.732804881,Slow Approaching
285,69.07,155.88,86.81,21.58037571,Slow Leaving
286,1211.83,141.16,-1070.67,-261.8646436,Fast Approaching
287,38.82,32.61,-6.21,-1.547092117,Slow Approaching
288,41.34,44,2.66,0.66255568,Stationary
289,51.1,130.16,79.06,19.6698912,Slow Leaving
290,1211.96,1211.95,-0.01,-0.002409059,Stationary
291,249.7,168.11,-81.59,-20.22453824,Slow Approaching
292,70.45,36.83,-33.62,-8.375552402,Slow Approaching
293,47.76,152.91,105.15,26.14471185,Fast Leaving
294,1211.78,1211.83,0.05,0.012044132,Stationary
295,91.78,1211.82,1120.04,274.1319174,Fast Leaving
